"SamAccountName","Password"
"Guest","WOJMNKF]SAECTVZXRQBGULH7PIDY"
"krbtgt","XEAGOQ*UHCIKLFZYM0DJRTBWPVSN"
"ansible","YQCKHIUP@JRWFOSTNXMLBVAEDZ0G"
"blackteam","QM7BFCPVZ_AUTKROSEGHXLYDIJWN"
"jesse","VGIMJZNQYBFKEHSPOXAW4TLC&URD"
"tguy","ZOVRMQUNYADG&CBKPXITSJFE3WHL"
"gittestuser","NJLQXZU;FHVT9OWDKRBPIESAGMYC"
"jgray","DBWPGR5FYTONZCIJK)XUHLVSMAEQ"
"tmendoza","IKQFCZOVGSUTPLWYXRNAEBJMD}H9"
"ewest","IHZVWURCDEXMPBOTYG\1KSQALFJN"
"ccampbell","GUOSQIKRA9H}JPNZTBCYXVMWELFD"
"cfields","IGA7UKQSREPCDTNZL_BHVMFYXOJW"
"jcarr","VEHR_GPZJYOSFICW4XAQBTMKNLDU"
"thale","NPJUFRBWT*OCGVLYHDIMAQKZ2SXE"
"tpatterson","QSLYTM8H-KGREAOWBNUVCJZPXFDI"
"bhorton","CBVGLORW{HMAFUYSPDKZTNQX1JEI"
"mmiller","PE8NVXUTDHSBMLZYCQ&KJIGFRAWO"
"bschmidt","UFHSZTJLACYE;IPDBWNRQV2MOGKX"
"drobinson","MSLTYUZBORJVNFCWAPXIKEH5G)QD"
"lhopkins","ILJREYGWCFT6NAVMSOUZKB%PDHXQ"
"wshaw","IYERD*MPTWVHFOJ6XSUZLAKGNCQB"
"mgreen","QXPYDMO3ECNHGILBWJ=RFATVUKSZ"
"jwashington","VFEBISMCYDQLRNKOXWAUGZP1[HJT"
"tgarrett","!OXDNAZYQS7LGIWMCTKJHEUFVRPB"
"khoward","DEZ=PBXSFTKJ0YALHNVWMICOQRUG"
"awade","NDUA{KBMTGFICZHJPQERYXVWSOL3"
"erivera","BFRMNTEKVDLGWYCQ+UOSZPXIA0JH"
"mwebb","Z6KXGLNYWORIESQJTUH|MVBPADFC"
"fwillis","VXIUZDLHOG+JSBPCMWNR1YQEKFAT"
"mperez","FKNDIWRGTE0BOMZHYCX^PVQAULJS"
"jmcdonalid","MVEW;6SFGRNJDQBZPULHOAKIYXTC"
"awhite","TNAEHCRMKZ9GLUOSFBX(PWYQDJVI"
"wordpress","XTKLGVU7]NZROJABCDFSEPYIHWQM"
"cam","SLIUOTQXWDY4ZGAEPBN&JKMCHRFV"
"cnWzjufxKM","X3ILHUOKNTCQZMYEFBRGA\JWVPSD"
"test","KSPTRQ3BGDVYFNJLOHEAXZWCM@IU"
"jshmo","PJ0BRLZSCDGTVWFONXUI|AEYMQKH"
