SamAccountName,Password
Guest,=-)BnMauSb
krbtgt,x!^ly=VHdj
ansible,cXH_mNB*wv
blackteam,D|KR@$HPG^
jesse,;g%]cLVnzv
tguy,#^YMDSgrWj
gittestuser,FyfxjgM+QD
jgray,I_=}cSXTE;
tmendoza,-bGa%FslJm
ewest,i{vGaIAVlh
ccampbell,Onq*faL&UH
cfields,xR\eE*HCLo
jcarr,R(+dSYQo]C
thale,{&EPZ(}$Cb
tpatterson,XL*l=fx])^
bhorton,KYgV)vw+uS
mmiller,R(bD=*d}wJ
bschmidt,B]$H*c(=+%
drobinson,PCTQ(!pbzl
lhopkins,{e*wcXmsqV
wshaw,}nU#lJC(gD
mgreen,Zp_P*lYENj
jwashington,;}qlCA!NVa
tgarrett,]Nnc)yijLY
khoward,V-RLMke)*m
awade,LtAbfSFi=%
erivera,#QyELX\bdC
mwebb,uhgL)dVwK[
fwillis,hMjPsX@RO+
mperez,nyw$o-KhC&
jmcdonalid,OfXj{PoApv
awhite,cCr@*B$K#L
wordpress,#NAME?
cam,aWfQ|n^{ko
cnWzjufxKM,=Jj\*t{zq+
test,MN+h*vW)|a
jshmo,^IKqAuMa_D
